无锡市无锡中关村科技创新园,新吴硕放太科园干城路6号（环太湖高速公路新安出口与312国道交叉处）,5500
无锡市第一上海广场,宜兴市宜兴绿园路恒峰线缆对面,价格待定
无锡市中凯润投资硕放项目,新吴硕放高浪东路19号（高浪路与锡士路交汇处，新区教堂南侧）,价格待定
无锡市中锦城硕放项目,新吴硕放薛典路东侧，经一路西侧,价格待定
无锡市星富广场,新吴硕放薛典路东侧、经一路西侧,价格待定
无锡市新太阳房产阳山项目,惠山堰桥林新路2号,价格待定
无锡市金汇熙园,惠山堰桥东至阳山镇派出所，南至环山路,价格待定
无锡市景湖天成,宜兴市宜兴东临宜园，南至氿南路，西至新长铁路宜兴城区段，北至西氿,14000
无锡市景湖天成,宜兴市宜兴东临宜园，南至氿南路，西至新长铁路宜兴城区段，北至西氿,14000
无锡市万业观山泓郡,锡山东北塘东翔路1509号,20000
无锡市碧桂园天玺,宜兴市宜兴东临宜园，南至氿南路，西至新长铁路宜兴城区段，北至西氿,14000
无锡市景湖天成,江阴市江阴南闸街道金三角路与紫金路交汇处,9500
无锡市融创文化旅游城,滨湖雪浪南泉万达城朗山,19000
无锡市中梁壹号院,宜兴市宜兴太湖大道与学府东路交汇处,价格待定
无锡市海逸北欧假日,宜兴市宜兴中心路166号,6800
无锡市中梁壹号院,宜兴市宜兴太湖大道与学府东路交汇处,价格待定
无锡市香颂世家,宜兴市宜兴凌霞村宜金公路北侧，官林汽车站对面,8500
无锡市山水氿城,宜兴市宜兴宜兴中学东侧500米,价格待定
无锡市恒大溪隐府,滨湖胡埭溪隐路100号（市体育中心北侧）,20000
无锡市山水氿城,宜兴市宜兴宜兴中学东侧500米,13500
无锡市吉祥国际花园,新吴硕放通祥北路19号,10000
无锡市龙湖紫云台,宜兴市宜兴东氿大道与龙潭路交叉处往南2公里,价格待定
无锡市龙湖紫云台,滨湖雪浪南泉蠡湖大道蠡湖大道万达城溪岸景园二区,30000
无锡市溪岸景园,宜兴市宜兴东氿大道与龙潭路交叉处往南2公里,价格待定
无锡市远东香邑,宜兴市宜兴远东大道与科技大道交汇处向西500米（龙湾东侧）,6000
无锡市恒大溪隐府,滨湖胡埭溪隐路100号（市体育中心北侧）,价格待定
无锡市硕放房产新区项目,新吴硕放机场路南侧、硕梅路西侧、硕果路北侧,价格待定
无锡市长泰国际社区,锡山东北塘先锋路与纺城大道交汇,12500
无锡市嘉德港与城,锡山东北塘莱特公司南、团结大道西,价格待定
无锡市嘉德港与城,滨湖胡埭运河西路西侧(航运大厦南侧),17000
